iter	RMSE
0	1821934.45
1	1818913.403
2	1815488.099
3	1813360.216
4	1811834.072
5	1809975.575
6	1807935.131
7	1806044.037
8	1804090.226
9	1802425.267
10	1800875.468
11	1798561.452
12	1796875.056
13	1795773.74
14	1795313.113
15	1794084.032
16	1792813.823
17	1790525.426
18	1789020.94
19	1788565.495
20	1787579.426
21	1786482.728
22	1785603.51
23	1784783.532
24	1783629.268
25	1783042.121
26	1782150.774
27	1780760.666
28	1779390.57
29	1778396.197
30	1778031.803
31	1777299.44
32	1776494.738
33	1775728.232
34	1774725.997
35	1773966.465
36	1772803.245
37	1771921.496
38	1771232.192
39	1770210.483
40	1769278.887
41	1768545.919
42	1767662.005
43	1766930.548
44	1765806.148
45	1765065.161
46	1764230.337
47	1763411.468
48	1762805.718
49	1761922.818
50	1760650.688
51	1759957.332
52	1759289.971
53	1758885.016
54	1758105.271
55	1757499.656
56	1756823.897
57	1756437.756
58	1755344.912
59	1754519.547
60	1754284.667
61	1753046.195
62	1752443.999
63	1751758.708
64	1750990.381
65	1750151.688
66	1749240.499
67	1748402.829
68	1748032.084
69	1746913.746
70	1746388.412
71	1745829.511
72	1745389.329
73	1744703.709
74	1743782.143
75	1743049.491
76	1742361.752
77	1741851.466
78	1741272.854
79	1740436.979
80	1740414.645
81	1739782.247
82	1739189.094
83	1738769.39
84	1738110.321
85	1737347.497
86	1736079.47
87	1735452.401
88	1734828.54
89	1734285.423
90	1733537.414
91	1732988.624
92	1732398.816
93	1731791.85
94	1731412.421
95	1730875.836
96	1730111.239
97	1729339.693
98	1728175.038
99	1727691.914
100	1727462.369
101	1726665.872
102	1726368.347
103	1725502.648
104	1724749.551
105	1723688.869
106	1722991.149
107	1721708.339
108	1721022.412
109	1720474.23
110	1719819.807
111	1719212.119
112	1718537.633
113	1717706.689
114	1716739.651
115	1715997.058
116	1715465.002
117	1714804.252
118	1714381.26
119	1713712.066
120	1713206.117
121	1712566.366
122	1711922.825
123	1711358.058
124	1710108.809
125	1709632.133
126	1708592.828
127	1708232.484
128	1707688.987
129	1707064
130	1706625.461
131	1705907.87
132	1705094.266
133	1704581.609
134	1704154.289
135	1703239.77
136	1702413.921
137	1701795.944
138	1701101.5
139	1700465.713
140	1699944.81
141	1699450.995
142	1698662.94
143	1698306.926
144	1697730.086
145	1697488.458
146	1696707.515
147	1696146.8
148	1695499.802
149	1694969.201
150	1694235.34
151	1693744.593
152	1693134.93
153	1692238.589
154	1691552.977
155	1691186.768
156	1690819.616
157	1690427.816
158	1689846.826
159	1689143.267
160	1688597.486
161	1687814.523
162	1686655.785
163	1686059.542
164	1685330.085
165	1684677.988
166	1683949.674
167	1683350.454
168	1682652.656
169	1682083.843
170	1681251.722
171	1680747.197
172	1680468.123
173	1680029.364
174	1679396.37
175	1678878.285
176	1678480.308
177	1678124.636
178	1677373.602
179	1676911.887
180	1676424.866
181	1675903.275
182	1675390.586
183	1674646.535
184	1674053.14
185	1673486.937
186	1672734.274
187	1672291.322
188	1671813.141
189	1671202.889
190	1670693.457
191	1669964.059
192	1669180.905
193	1668629.833
194	1668060.534
195	1667529.985
196	1667069.235
197	1666442.098
198	1665896.221
199	1665416.242
200	1664598.594
201	1663881.646
202	1663443.595
203	1663040.056
204	1662348.834
205	1661861.628
206	1661212.3
207	1660739.913
208	1660202.841
209	1659399.484
210	1658945.373
211	1658363.812
212	1657794.944
213	1657342.813
214	1656711.781
215	1656372.894
216	1655992.648
217	1655540.558
218	1655059.175
219	1654614.679
220	1654263.318
221	1653720.183
222	1653219.431
223	1652634.768
224	1652257.1
225	1651815.709
226	1651379.328
227	1650837.766
228	1650239.177
229	1649917.201
230	1649357.427
231	1648728.089
232	1648237.641
233	1647792.346
234	1647226.876
235	1646803.67
236	1646126.882
237	1645434.386
238	1645024.282
239	1644659.45
240	1644264.412
241	1643642.215
242	1643220.054
243	1642585.035
244	1641745.704
245	1641278.016
246	1640761.806
247	1640295.157
248	1639673.211
249	1639318.223
250	1638688.824
251	1638274.823
252	1637718.245
253	1637043.802
254	1636468.909
255	1636066.066
256	1635503.483
257	1634877.063
258	1634258.615
259	1633856.541
260	1633465.035
261	1632899.993
262	1632334.243
263	1631837.616
264	1631316.744
265	1630701.555
266	1630121.973
267	1629612.311
268	1629130.212
269	1628564.955
270	1628264.787
271	1627967.98
272	1627343.102
273	1627051.804
274	1626661.877
275	1626247.101
276	1625751.264
277	1625226.595
278	1624774.416
279	1624054.472
280	1623558.986
281	1623067.466
282	1622489.232
283	1622190.169
284	1621554.327
285	1621153.829
286	1620499.275
287	1620070.191
288	1619458.898
289	1618931.762
290	1618470.933
291	1618012.374
292	1617476.32
293	1616787.039
294	1616151.732
295	1615569.053
296	1615003.261
297	1614583.279
298	1613940.853
299	1613437.053
300	1612942.976
301	1612657.516
302	1611981.243
303	1611560.958
304	1611063.039
305	1610614.517
306	1610204.635
307	1609769.075
308	1609352.823
309	1608765.073
310	1608132.751
311	1607617.895
312	1607029.223
313	1606472.308
314	1605958.647
315	1605715.292
316	1605376.993
317	1605119.769
318	1604690.914
319	1604258.435
320	1603848.649
321	1603414.669
322	1602781.27
323	1602406.212
324	1601988.669
325	1601447.606
326	1601065.703
327	1600591.461
328	1600076.481
329	1599563.45
330	1599076.404
331	1598707.142
332	1598172.836
333	1597716.925
334	1597262.646
335	1596939.223
336	1596365.807
337	1595918.345
338	1595368.542
339	1595033.085
340	1594652.928
341	1594173.253
342	1593667.659
343	1593165.84
344	1592668.203
345	1592087.359
346	1591726.853
347	1591383.289
348	1590972.508
349	1590592.42
350	1589957.895
351	1589341.002
352	1588867.638
353	1588296.244
354	1587971.832
355	1587354.518
356	1586870.62
357	1586471.356
358	1586023.58
359	1585570.051
360	1585028.022
361	1584446.514
362	1583817.325
363	1583219.495
364	1582701.213
365	1582321.75
366	1581990.671
367	1581660.713
368	1581184.386
369	1580732.39
370	1580259.429
371	1579891.265
372	1579139.123
373	1578827.342
374	1578442.136
375	1577926.415
376	1577553.606
377	1577178.128
378	1576857.37
379	1576342.138
380	1575815.06
381	1575331.738
382	1574788.221
383	1574352.788
384	1573928.799
385	1573495.359
386	1572995.631
387	1572311.63
388	1571853.406
389	1571475.319
390	1571031.478
391	1570702.56
392	1570186.84
393	1569701.043
394	1569183.753
395	1568680.115
396	1568303.947
397	1567765.186
398	1567287.778
399	1566721.813
400	1566312.438
401	1565985.017
402	1565499.606
403	1565202.953
404	1564729.277
405	1564293.614
406	1564005.466
407	1563577.722
408	1563256.514
409	1562843.105
410	1562511.332
411	1562004.139
412	1561645.856
413	1561260.591
414	1560657.729
415	1560162.07
416	1559856.497
417	1559413.076
418	1559097.516
419	1558590.637
420	1558119.869
421	1557637.868
422	1557276.289
423	1556747.605
424	1556234.644
425	1555759.567
426	1555151.138
427	1554626.268
428	1554249.375
429	1553782.854
430	1553388.811
431	1553169.224
432	1552869.054
433	1552474.16
434	1551910.014
435	1551504.577
436	1551074.861
437	1550595.879
438	1549946.066
439	1549429.727
440	1548954.447
441	1548395.161
442	1547745.175
443	1547467.415
444	1547068.971
445	1546724.111
446	1546256.044
447	1545637.579
448	1545299.175
449	1544975.715
450	1544532.834
451	1544230.929
452	1543794.293
453	1543203.809
454	1542876.046
455	1542573.92
456	1542046.784
457	1541611.554
458	1541167.78
459	1540744.655
460	1540150.117
461	1539649.416
462	1539247.268
463	1539072.859
464	1538596.47
465	1538289.214
466	1537867.147
467	1537395.181
468	1536941.182
469	1536445.226
470	1535998.142
471	1535692.296
472	1535270.425
473	1534879.633
474	1534430.61
475	1533969.234
476	1533450.605
477	1533122.395
478	1532890.859
479	1532488.914
480	1532214.021
481	1531361.299
482	1531190.739
483	1530836.412
484	1530378.217
485	1529958.309
486	1529569.966
487	1529116.81
488	1528651.178
489	1528046.304
490	1527619.514
491	1527254.187
492	1526767.647
493	1526338.204
494	1525973.422
495	1525611.976
496	1525165.76
497	1524752.198
498	1524390.015
499	1523844.082
500	1523374.752
501	1523024.4
502	1522662.176
503	1522257.53
504	1521926.778
505	1521297.494
506	1520928.76
507	1520423.504
508	1520086.503
509	1519806.089
510	1519299.588
511	1518978.054
512	1518679.164
513	1518331.285
514	1517785.312
515	1517401.672
516	1516988.834
517	1516711.898
518	1516258.023
519	1515795.248
520	1515389.517
521	1514915.078
522	1514590.127
523	1514307.205
524	1514019.474
525	1513790.766
526	1513304.301
527	1512924.209
528	1512427.172
529	1512065.724
530	1511682.83
531	1511355.757
532	1510935.691
533	1510498.983
534	1510141.642
535	1509974.046
536	1509666.853
537	1509130.201
538	1508357.488
539	1507881.197
540	1507461.662
541	1506903.009
542	1506279.97
543	1505672.411
544	1505256.665
545	1504782.432
546	1504445.393
547	1503983.912
548	1503643.862
549	1503493.436
550	1503214.318
551	1502753.811
552	1502363.517
553	1501954.055
554	1501562.763
555	1501148.459
556	1500733.762
557	1500348.312
558	1499996.96
559	1499691.445
560	1499355.043
561	1499080.095
562	1498815.034
563	1498427.716
564	1497949.771
565	1497579.052
566	1497081.907
567	1496756.771
568	1496356.286
569	1495995.416
570	1495433.643
571	1495171.711
572	1494739.219
573	1494254.046
574	1493871.284
575	1493444.688
576	1493142.004
577	1492614.878
578	1492346.799
579	1491973.922
580	1491634.101
581	1491327.412
582	1491001.787
583	1490371.266
584	1489856.19
585	1489332.406
586	1488859.402
587	1488567.939
588	1488280.991
589	1487758.943
590	1487471.718
591	1487235.828
592	1486754.357
593	1486266.414
594	1485685.372
595	1485148.092
596	1484824.133
597	1484458.866
598	1484201.318
599	1483833.337
600	1483413.038
601	1483076.098
602	1482687.209
603	1482195.08
604	1481800.507
605	1481455.858
606	1481170.123
607	1480779.818
608	1480425.141
609	1480088.036
610	1479669.764
611	1479313.551
612	1479027.462
613	1478615.474
614	1478301.411
615	1477863.138
616	1477530.694
617	1477178.374
618	1476867.975
619	1476666.374
620	1476299.006
621	1476047.24
622	1475670.735
623	1475353.456
624	1474939.671
625	1474621.714
626	1474291.064
627	1473983.578
628	1473438.779
629	1473122.267
630	1472881.544
631	1472599.11
632	1472245.191
633	1471847.178
634	1471492.304
635	1471208.898
636	1470821.207
637	1470445.273
638	1470078.379
639	1469761.671
640	1469385.07
641	1468921.29
642	1468634.169
643	1468338.98
644	1468105.968
645	1467899.768
646	1467399.103
647	1467029.45
648	1466620.366
649	1466378.664
650	1465993.459
651	1465389.22
652	1465130.672
653	1464307.174
654	1463954.137
655	1463684.433
656	1463465.035
657	1463165.149
658	1462880.951
659	1462466.428
660	1462111.457
661	1461754.969
662	1461511.653
663	1461072.89
664	1460803.865
665	1460561.363
666	1460293.135
667	1460049.896
668	1459820.929
669	1459493.597
670	1458938.998
671	1458452.624
672	1458039.788
673	1457670.436
674	1457055.505
675	1456620.131
676	1456268.62
677	1455924.534
678	1455590.013
679	1455232.353
680	1454855.353
681	1454512.709
682	1454194.617
683	1453878.089
684	1453305.087
685	1453024.842
686	1452655.889
687	1452341.286
688	1452050.972
689	1451834.146
690	1451668.806
691	1451354.304
692	1451040.764
693	1450544.3
694	1450196.539
695	1449912.961
696	1449416.955
697	1448826.575
698	1448303.405
699	1447854.801
700	1447353.524
701	1446928.465
702	1446537.987
703	1446101.736
704	1445617.819
705	1445129.073
706	1444689.857
707	1444423.689
708	1444108.36
709	1443878.389
710	1443404.223
711	1443125.191
712	1442779.198
713	1442320.042
714	1442033.561
715	1441602.147
716	1441281.37
717	1441014.778
718	1440660.605
719	1440377.563
720	1440070.966
721	1439697.006
722	1439347.717
723	1439012.313
724	1438658.563
725	1438222.23
726	1437744.833
727	1437321.407
728	1437054.906
729	1436585.079
730	1436340.837
731	1436125.406
732	1435669.596
733	1435434.289
734	1435063.483
735	1434854.517
736	1434522.26
737	1434205.748
738	1433797.519
739	1433515.097
740	1433092.47
741	1432576.592
742	1432101.103
743	1431707.174
744	1431290.196
745	1430832.461
746	1430504.65
747	1430155.619
748	1429862.277
749	1429440.333
750	1429058.138
751	1428715.245
752	1428306.202
753	1427964.853
754	1427618.783
755	1427348.054
756	1427079.884
757	1426772.108
758	1426573.031
759	1426322.832
760	1426067.175
761	1425746.544
762	1425488.865
763	1425176.168
764	1424715.433
765	1424422.036
766	1424158.169
767	1423891.039
768	1423628.781
769	1423337.459
770	1423026.41
771	1422783.485
772	1422474.117
773	1422070.757
774	1421793.352
775	1421491.672
776	1421177.972
777	1420762.039
778	1420294.789
779	1419994.684
780	1419759.438
781	1419572.554
782	1419218.659
783	1418821.528
784	1418547.089
785	1418187.689
786	1417893.602
787	1417707.655
788	1417533.876
789	1417130.572
790	1416835.259
791	1416377.589
792	1415895.035
793	1415594.351
794	1415127.281
795	1414864.277
796	1414562.632
797	1414213.888
798	1413979.559
799	1413798.666
800	1413560.674
801	1413163.861
802	1412836.374
803	1412397.034
804	1412105.883
805	1411884.836
806	1411412.37
807	1411118.541
808	1410787.668
809	1410423.517
810	1410042.018
811	1409650.78
812	1409449.229
813	1409236.806
814	1408771.752
815	1408482.547
816	1408197.002
817	1407891.295
818	1407707.006
819	1407431.457
820	1407144.783
821	1406890.755
822	1406602.348
823	1406316.506
824	1405978.24
825	1405777.193
826	1405425.98
827	1405192.757
828	1404823.49
829	1404185.945
830	1403933.746
831	1403533.022
832	1403273.514
833	1402894.788
834	1402649.715
835	1402365.584
836	1402177.663
837	1401798.862
838	1401364
839	1401081.31
840	1400790.672
841	1400567.151
842	1400203.427
843	1399866.354
844	1399522.938
845	1399162.079
846	1398673.056
847	1398264.783
848	1397889.317
849	1397492.562
850	1397182.371
851	1396831.528
852	1396480.234
853	1396250.388
854	1395865.094
855	1395576.216
856	1395322.492
857	1394997.897
858	1394616.877
859	1394215.853
860	1393960.645
861	1393584.509
862	1393258.286
863	1392951.254
864	1392700.948
865	1392343.683
866	1391965.246
867	1391551.027
868	1391208.212
869	1390916.042
870	1390708.57
871	1390316.674
872	1390123.86
873	1389896.966
874	1389728.763
875	1389502.113
876	1389186.622
877	1388750.088
878	1388441.262
879	1387907.12
880	1387702.46
881	1387352.472
882	1386942.211
883	1386630.758
884	1386268.649
885	1386134.348
886	1385756.776
887	1385616.571
888	1385321.517
889	1385042.397
890	1384726.562
891	1384418.601
892	1384151.744
893	1383658.387
894	1383288.044
895	1382901.521
896	1382368.851
897	1382189.156
898	1381948.975
899	1381571.244
900	1381367.702
901	1381125.352
902	1380973.005
903	1380661.584
904	1380229.138
905	1379888.482
906	1379547.283
907	1379292.037
908	1378913.609
909	1378604.095
910	1378373.721
911	1377977.641
912	1377653.105
913	1377389.298
914	1377004.895
915	1376765.4
916	1376476.672
917	1376078.924
918	1375784.8
919	1375585.97
920	1375062.417
921	1374757.469
922	1374519.15
923	1374082.063
924	1373712.603
925	1373361.23
926	1372840.336
927	1372626.813
928	1372061.665
929	1371717.015
930	1371454.618
931	1370836.807
932	1370520.668
933	1370208.977
934	1369934.886
935	1369549.418
936	1369182.928
937	1369003.064
938	1368677.89
939	1368371.05
940	1368072.662
941	1367683.26
942	1367398.463
943	1367053.979
944	1366798.357
945	1366521.038
946	1366252.93
947	1365953.104
948	1365581.757
949	1365209.556
950	1364851.264
951	1364602.513
952	1364165.567
953	1363899.507
954	1363661.586
955	1363409.4
956	1362971.738
957	1362633.96
958	1362272.686
959	1362087.576
960	1361686.417
961	1361345.151
962	1361059.789
963	1360783.058
964	1360165.073
965	1359707.232
966	1359472.773
967	1359012.357
968	1358701.891
969	1358490.751
970	1358067.115
971	1357824.091
972	1357415.808
973	1357106.584
974	1356630.46
975	1356436.447
976	1356129.87
977	1355804.669
978	1355469.906
979	1355267.523
980	1354766.426
981	1354545.47
982	1354167.664
983	1353879.967
984	1353539.403
985	1353298.475
986	1352885.703
987	1352484.292
988	1352133.646
989	1351820.684
990	1351537.419
991	1351160.97
992	1350986.843
993	1350712.661
994	1350323.672
995	1350131.477
996	1349761.997
997	1349597.617
998	1349277.222
999	1349078.074
