iter	RMSE
0	1814438.222
1	1811916.682
2	1809156.754
3	1805401.634
4	1802225.656
5	1800372.652
6	1798567.039
7	1797168.09
8	1794592.229
9	1793345.4
10	1790298.094
11	1788599.459
12	1787133.771
13	1786141.439
14	1784980.759
15	1783976.599
16	1783008
17	1781504.924
18	1779957.133
19	1778473.929
20	1776772.444
21	1776119.603
22	1775157.156
23	1774487.377
24	1772592.866
25	1771183.958
26	1770483.025
27	1769656.601
28	1768659.003
29	1767910.082
30	1767041.335
31	1766119.744
32	1765311.428
33	1764308.21
34	1763302.145
35	1762554.96
36	1762102.112
37	1761206.593
38	1760168.379
39	1759680.786
40	1759070.791
41	1757872.699
42	1757379.411
43	1756378.99
44	1755557.831
45	1754779.63
46	1754136.248
47	1753338.881
48	1752794.324
49	1751776.367
50	1751012.307
51	1750199.219
52	1749170.396
53	1748386.6
54	1747626.849
55	1746816.454
56	1745802.113
57	1745029.466
58	1744435.895
59	1744149.218
60	1743499.428
61	1742361.782
62	1741635.036
63	1740844.636
64	1740073.799
65	1739182.354
66	1738725.839
67	1738719.249
68	1738113.053
69	1737218.865
70	1736074.295
71	1735691.674
72	1734852.129
73	1734222.048
74	1733444.345
75	1732748.199
76	1732200.651
77	1731499.413
78	1730746.433
79	1730138.329
80	1729466.428
81	1728509.385
82	1728021.203
83	1727305.116
84	1726698.529
85	1726269.958
86	1725761.739
87	1725183.556
88	1724422.802
89	1724017.681
90	1723127.993
91	1722388.616
92	1721842.311
93	1721218.413
94	1720621.771
95	1719663.26
96	1719023.69
97	1718325.556
98	1717733.646
99	1717071.739
100	1716271.383
101	1715812.939
102	1715168.281
103	1714325.296
104	1713751.097
105	1713290.595
106	1712304.846
107	1711747.474
108	1711290.604
109	1710598.228
110	1709792.367
111	1709367.814
112	1708587.523
113	1707730.118
114	1707043.045
115	1706407.056
116	1705632.515
117	1705054.784
118	1704481.358
119	1703941.47
120	1703406.146
121	1702954.459
122	1702546.801
123	1702078.219
124	1701369.927
125	1700583.614
126	1699817.292
127	1699312.343
128	1699154.51
129	1698606.363
130	1697982.246
131	1697503.118
132	1697207.016
133	1696524.14
134	1695438.761
135	1695050.941
136	1693887.142
137	1693054.57
138	1692490.883
139	1691275.8
140	1690952.35
141	1690346.985
142	1689912.566
143	1689305.447
144	1688702.618
145	1687719.983
146	1687095.402
147	1686507.617
148	1685920.835
149	1685341.689
150	1684578.224
151	1683946.582
152	1683091.617
153	1682425.641
154	1681794.851
155	1681288.496
156	1680779.31
157	1680039.653
158	1679316.764
159	1678494.904
160	1677939.539
161	1677429.772
162	1676593.29
163	1676004.416
164	1675329.368
165	1674590.063
166	1674137.636
167	1673542.827
168	1672815.979
169	1672277.167
170	1671718.847
171	1671333.092
172	1670812.261
173	1670518.398
174	1669745.14
175	1669166.076
176	1668488.685
177	1668023.054
178	1667748.323
179	1667059.969
180	1666627.011
181	1666178.924
182	1665699.795
183	1665337.922
184	1664710.995
185	1664275.639
186	1663611.542
187	1663008.528
188	1662488.859
189	1661922.443
190	1661323.347
191	1660793.028
192	1660320.054
193	1660055.949
194	1659581.553
195	1658926.773
196	1658324.205
197	1657436.044
198	1656824.808
199	1656341.709
200	1655663.344
201	1655157.724
202	1654660.549
203	1653880.41
204	1653514.298
205	1652734.039
206	1652302.358
207	1651804.027
208	1651279.875
209	1650486.486
210	1649839.675
211	1649335.715
212	1648884.831
213	1648424.454
214	1647749.265
215	1647181.608
216	1646754.332
217	1646246.35
218	1645821.956
219	1645171.937
220	1644585.4
221	1644033.028
222	1643467.147
223	1642637.391
224	1642140.355
225	1641748.785
226	1641135.242
227	1640751.757
228	1640110.574
229	1639775.264
230	1639194.902
231	1638604.928
232	1638045.739
233	1637498.198
234	1636881.891
235	1636351.815
236	1635771.151
237	1635296.853
238	1635043.543
239	1634448.847
240	1633682.884
241	1633235.087
242	1632658.665
243	1632308.54
244	1631831.279
245	1631418.469
246	1630958.066
247	1630290.679
248	1629688.664
249	1629235.22
250	1628609.109
251	1627931.413
252	1627450.828
253	1626928.853
254	1626408.996
255	1625795.291
256	1625258.928
257	1624863.587
258	1624348.675
259	1623940.899
260	1623452.645
261	1622849.583
262	1622383.088
263	1621799.226
264	1621264.897
265	1620770.573
266	1620262.64
267	1619664.218
268	1618961.664
269	1618496.886
270	1618036.652
271	1617656.105
272	1617251.749
273	1616924.339
274	1616530.514
275	1615943.518
276	1615581.882
277	1615214.018
278	1614776.603
279	1614143.416
280	1613591.936
281	1613151.857
282	1612421.034
283	1611977.844
284	1611549.779
285	1611030.355
286	1610688.059
287	1610033.654
288	1609317.691
289	1608592.645
290	1608068.799
291	1607396.464
292	1606758.399
293	1606320.701
294	1605954.78
295	1605521.735
296	1605154.694
297	1604653.921
298	1604219.943
299	1603794.387
300	1603388.938
301	1602813.056
302	1602351.278
303	1601849.074
304	1601317.244
305	1600713.575
306	1600147.22
307	1599839.016
308	1599354.833
309	1599028.999
310	1598614.207
311	1597897.044
312	1597156.852
313	1596425.031
314	1595762.366
315	1595015.221
316	1594283.654
317	1593789.644
318	1593125.952
319	1592853.188
320	1592281.937
321	1591795.565
322	1591233.329
323	1590809.48
324	1590241.794
325	1589581.608
326	1589057.486
327	1588402.083
328	1587889.838
329	1587215.43
330	1586811.98
331	1586337.239
332	1585879.779
333	1585451.377
334	1585011.707
335	1584408.385
336	1583970.945
337	1583631.895
338	1582928.838
339	1582309.45
340	1581785.762
341	1581317.501
342	1580968.927
343	1580282.563
344	1579644.58
345	1579343.284
346	1578744.306
347	1578317.059
348	1577645.257
349	1576952.294
350	1576647.905
351	1576131.141
352	1575713.741
353	1575138.359
354	1574677.567
355	1574221.412
356	1573761.256
357	1573424.697
358	1573141.556
359	1572594.538
360	1571955.268
361	1571614.378
362	1571282.117
363	1570812.945
364	1570580.765
365	1570091.519
366	1569688.859
367	1569176.59
368	1568616.72
369	1567952.553
370	1567516.286
371	1567231.234
372	1566826.798
373	1566220.999
374	1565797.145
375	1565208.675
376	1564738.791
377	1564299.724
378	1563929.468
379	1563356.153
380	1562749.209
381	1562263.167
382	1561722.875
383	1561283.598
384	1560815.44
385	1560214.906
386	1559647.523
387	1559152.847
388	1558583.817
389	1558147.844
390	1557801.563
391	1557407.597
392	1556927.842
393	1556398.915
394	1555730.357
395	1555326.946
396	1554943.617
397	1554302.517
398	1553474.568
399	1553134.047
400	1552858.354
401	1552331.925
402	1551940.016
403	1551420.545
404	1550811.517
405	1550185.3
406	1549701.408
407	1549205.631
408	1548635.95
409	1548029.404
410	1547543.585
411	1547198.961
412	1546764.279
413	1546317.873
414	1546006.394
415	1545492.291
416	1545018.063
417	1544754.728
418	1544148.066
419	1543716.974
420	1543337.985
421	1542968.161
422	1542425.504
423	1542090.027
424	1541744.238
425	1541443.442
426	1540901.037
427	1540526.6
428	1539994.986
429	1539609.513
430	1539150.146
431	1538769.548
432	1538307.254
433	1537939.541
434	1537423.625
435	1536855.144
436	1536251.416
437	1535742.519
438	1535269.041
439	1534870.549
440	1534537.404
441	1533967.633
442	1533600.966
443	1533083.936
444	1532645.356
445	1532273.598
446	1531991.975
447	1531603.929
448	1530831.972
449	1530589.571
450	1530111.356
451	1529649.123
452	1529120.075
453	1528731.138
454	1528296.819
455	1527963.609
456	1527346.722
457	1527023.817
458	1526662.034
459	1526281.389
460	1525813.67
461	1525405.44
462	1524812.833
463	1524354.189
464	1523881.056
465	1523448.813
466	1522955.024
467	1522571.524
468	1522101.405
469	1521656.366
470	1521257.865
471	1520896.3
472	1520550.05
473	1520178.729
474	1519665.037
475	1519336.369
476	1518730.686
477	1518388.789
478	1517929.358
479	1517404.741
480	1517096.146
481	1516878.049
482	1516534.243
483	1516090.318
484	1515666.012
485	1515265.856
486	1514792.56
487	1514374.612
488	1514092.885
489	1513656.227
490	1513226.873
491	1512960.543
492	1512525.73
493	1512116.637
494	1511669.961
495	1511252.543
496	1510955.959
497	1510610.657
498	1510148.109
499	1509795.432
500	1509266.794
501	1508729.497
502	1508316.438
503	1507678.746
504	1507238.905
505	1506676.278
506	1506214.612
507	1506016.763
508	1505614.541
509	1505260.127
510	1504643.227
511	1504276.156
512	1503919.447
513	1503482.222
514	1503143.112
515	1502728.084
516	1502372.373
517	1501896.227
518	1501520.943
519	1501015.932
520	1500357.445
521	1499838.901
522	1499352.328
523	1498898.776
524	1498515.831
525	1498231.027
526	1497976.426
527	1497486.18
528	1497054.313
529	1496606.709
530	1496288.2
531	1496056.238
532	1495720.067
533	1495283.455
534	1495081.125
535	1494725.986
536	1494223.465
537	1493882.268
538	1493584.124
539	1493145.462
540	1492773.64
541	1492246.17
542	1491791.351
543	1491364.655
544	1491073.418
545	1490697.098
546	1490254.653
547	1489852.154
548	1489360.83
549	1488809.433
550	1488570.455
551	1488175.387
552	1487817.612
553	1487289.379
554	1487107.953
555	1486545.139
556	1486141.33
557	1485807.981
558	1485399.652
559	1485131.565
560	1484565.124
561	1483930.08
562	1483698.225
563	1483294.733
564	1482834.852
565	1482476.485
566	1482143.385
567	1481589.728
568	1481383.912
569	1481066.903
570	1480648.766
571	1480082.923
572	1479722.278
573	1479322.695
574	1478860.478
575	1478381.377
576	1477951.647
577	1477614.192
578	1477266.056
579	1476964.601
580	1476581.931
581	1476275.837
582	1475844.939
583	1475513.112
584	1474971.624
585	1474578.837
586	1474078.365
587	1473763.525
588	1473295.893
589	1472786.29
590	1472376.401
591	1471936.981
592	1471626.344
593	1471271.932
594	1470759.803
595	1470404.749
596	1470008.373
597	1469580.973
598	1469269.993
599	1468856.005
600	1468636.657
601	1468146.771
602	1467929.299
603	1467541.719
604	1467263.553
605	1466871.534
606	1466465.058
607	1465970.905
608	1465588.36
609	1465336.522
610	1464872.208
611	1464520.949
612	1464222.943
613	1463862.303
614	1463411.302
615	1462966.234
616	1462548.47
617	1462179.598
618	1461828.545
619	1461419.307
620	1461041.846
621	1460565.967
622	1460240.017
623	1459814.952
624	1459418.007
625	1459085.15
626	1458710.924
627	1458343.475
628	1457734.816
629	1457346.001
630	1456890.807
631	1456499.682
632	1455867.192
633	1455411.195
634	1454945.756
635	1454738.844
636	1454212.478
637	1453832.501
638	1453404.824
639	1453003.61
640	1452597.36
641	1452272.612
642	1451829.789
643	1451338.336
644	1450940.318
645	1450496.178
646	1450120.491
647	1449859.694
648	1449297.403
649	1448945.167
650	1448570.111
651	1448160.024
652	1447746.59
653	1447305.757
654	1446931.792
655	1446454.069
656	1446207.017
657	1445868.479
658	1445453.671
659	1445174.937
660	1444745.86
661	1444393.493
662	1444005.341
663	1443606.919
664	1443242.015
665	1442929.824
666	1442588.416
667	1442353.921
668	1441855.853
669	1441416.338
670	1441065.539
671	1440471.631
672	1440206.343
673	1439824.711
674	1439563.848
675	1439181.468
676	1438870.97
677	1438687.303
678	1438349.054
679	1438103.217
680	1437809.129
681	1437325.92
682	1436850.468
683	1436651.807
684	1436364.615
685	1435871.029
686	1435399.83
687	1435156.367
688	1434651.337
689	1434418.934
690	1434176.123
691	1433938.359
692	1433378.262
693	1432990.864
694	1432763.1
695	1432178.806
696	1431668.817
697	1431184.169
698	1431027.754
699	1430638.694
700	1430187.93
701	1429856.52
702	1429438.585
703	1429134.215
704	1428850.976
705	1428506.919
706	1428035.345
707	1427745.592
708	1427229.642
709	1426852.393
710	1426596.69
711	1426194.662
712	1425628.201
713	1425095.634
714	1424640.292
715	1424295.446
716	1423992.835
717	1423665.761
718	1423217.673
719	1422887.673
720	1422617.86
721	1422215.792
722	1421922.37
723	1421396.478
724	1421086.151
725	1420666.323
726	1420219.321
727	1419833.854
728	1419490.102
729	1418962.273
730	1418611.41
731	1418156.567
732	1417863.935
733	1417490.542
734	1417208.46
735	1416684.799
736	1416143.414
737	1415651.369
738	1415145.729
739	1414717.835
740	1414407.52
741	1414036.435
